match_id,player_id,is_member,feedback_score
M00001,MEM00492,1,4.5
M00001,MEM00492,1,4.12
M00001,MEM00492,1,4.59
M00001,MEM00492,1,5.0
M00001,MEM00492,1,4.06
M00001,MEM00492,1,4.06
M00001,MEM00492,1,5.0
M00001,MEM00048,1,4.66
M00001,MEM00048,1,3.92
M00001,MEM00048,1,4.53
M00001,MEM00048,1,3.92
M00001,MEM00048,1,3.92
M00001,MEM00048,1,4.35
M00001,MEM00048,1,3.05
M00001,MEM00763,1,3.17
M00001,MEM00763,1,3.86
M00001,MEM00763,1,3.59
M00001,MEM00763,1,4.39
M00001,MEM00763,1,3.66
M00001,MEM00763,1,3.35
M00001,MEM00763,1,5.0
M00001,MEM00478,1,4.06
M00001,MEM00478,1,4.24
M00001,MEM00478,1,3.35
M00001,MEM00478,1,3.87
M00001,MEM00478,1,4.27
M00001,MEM00478,1,3.51
M00001,MEM00478,1,4.43
M00002,MEM00652,1,3.84
M00002,MEM00652,1,4.02
M00002,MEM00652,1,3.84
M00002,MEM00652,1,5.0
M00002,MEM00652,1,4.19
M00002,MEM00652,1,3.57
M00002,MEM00652,1,4.69
M00002,MEM00202,1,3.47
M00002,MEM00202,1,4.33
M00002,MEM00202,1,3.02
M00002,MEM00202,1,3.4
M00002,MEM00202,1,4.32
M00002,MEM00202,1,4.64
M00002,MEM00202,1,4.3
M00002,MEM00708,1,4.13
M00002,MEM00708,1,4.02
M00002,MEM00708,1,3.31
M00002,MEM00708,1,3.77
M00002,MEM00708,1,3.92
M00002,MEM00708,1,4.83
M00002,MEM00708,1,4.41
M00002,EXT00081,0,3.14
M00002,EXT00081,0,4.39
M00002,EXT00081,0,3.97
M00002,EXT00081,0,3.79
M00002,EXT00081,0,4.57
M00002,EXT00081,0,4.82
M00002,EXT00081,0,4.76
M00003,MEM00479,1,3.7
M00003,MEM00479,1,4.01
M00003,MEM00479,1,4.4
M00003,MEM00479,1,4.79
M00003,MEM00479,1,3.91
M00003,MEM00479,1,4.09
M00003,MEM00479,1,3.54
M00003,MEM00321,1,3.48
M00003,MEM00321,1,4.69
M00003,MEM00321,1,5.0
M00003,MEM00321,1,4.16
M00003,MEM00321,1,4.8
M00003,MEM00321,1,4.42
M00003,MEM00321,1,3.81
M00003,MEM00668,1,4.42
M00003,MEM00668,1,5.0
M00003,MEM00668,1,4.18
M00003,MEM00668,1,5.0
M00003,MEM00668,1,2.63
M00003,MEM00668,1,4.69
M00003,MEM00668,1,4.25
M00003,EXT00359,0,4.02
M00003,EXT00359,0,4.26
M00003,EXT00359,0,3.01
M00003,EXT00359,0,4.07
M00003,EXT00359,0,4.41
M00003,EXT00359,0,5.0
M00003,EXT00359,0,3.89
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00004,MEM00273,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00005,MEM00209,1,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00006,EXT00316,0,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00007,MEM00211,1,0.0
M00008,MEM00655,1,3.71
M00008,MEM00655,1,3.9
M00008,MEM00655,1,4.75
M00008,MEM00655,1,4.4
M00008,MEM00655,1,3.88
M00008,MEM00655,1,4.51
M00008,MEM00655,1,4.26
M00008,MEM00328,1,4.78
M00008,MEM00328,1,3.78
M00008,MEM00328,1,4.0
M00008,MEM00328,1,3.96
M00008,MEM00328,1,3.32
M00008,MEM00328,1,4.38
M00008,MEM00328,1,4.36
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00009,MEM00531,1,0.0
M00010,MEM00487,1,4.2
M00010,MEM00487,1,4.06
M00010,MEM00487,1,3.35
M00010,MEM00487,1,3.95
M00010,MEM00487,1,3.99
M00010,MEM00487,1,3.72
M00010,MEM00487,1,4.1
M00010,MEM00094,1,4.44
M00010,MEM00094,1,5.0
M00010,MEM00094,1,4.3
M00010,MEM00094,1,4.35
M00010,MEM00094,1,4.16
M00010,MEM00094,1,3.05
M00010,MEM00094,1,4.18
M00011,MEM00362,1,4.24
M00011,MEM00362,1,5.0
M00011,MEM00362,1,4.08
M00011,MEM00362,1,4.38
M00011,MEM00362,1,4.18
M00011,MEM00362,1,3.5
M00011,MEM00362,1,4.89
M00011,EXT00234,0,4.65
M00011,EXT00234,0,4.67
M00011,EXT00234,0,3.65
M00011,EXT00234,0,5.0
M00011,EXT00234,0,3.36
M00011,EXT00234,0,4.55
M00011,EXT00234,0,5.0
M00012,MEM00593,1,3.61
M00012,MEM00593,1,3.86
M00012,MEM00593,1,4.26
M00012,MEM00593,1,3.9
M00012,MEM00593,1,3.27
M00012,MEM00593,1,4.24
M00012,MEM00593,1,3.56
M00012,MEM00157,1,4.48
M00012,MEM00157,1,3.65
M00012,MEM00157,1,5.0
M00012,MEM00157,1,3.73
M00012,MEM00157,1,4.01
M00012,MEM00157,1,4.69
M00012,MEM00157,1,3.46
M00014,MEM00186,1,4.34
M00014,MEM00186,1,4.98
M00014,MEM00186,1,3.24
M00014,MEM00186,1,4.31
M00014,MEM00186,1,4.36
M00014,MEM00186,1,4.67
M00014,MEM00186,1,3.46
M00014,MEM00686,1,3.41
M00014,MEM00686,1,4.51
M00014,MEM00686,1,4.38
M00014,MEM00686,1,4.35
M00014,MEM00686,1,4.41
M00014,MEM00686,1,3.79
M00014,MEM00686,1,4.34
M00014,MEM00023,1,4.38
M00014,MEM00023,1,3.77
M00014,MEM00023,1,5.0
M00014,MEM00023,1,4.48
M00014,MEM00023,1,3.49
M00014,MEM00023,1,4.59
M00014,MEM00023,1,3.62
M00014,MEM00094,1,4.67
M00014,MEM00094,1,4.9
M00014,MEM00094,1,3.71
M00014,MEM00094,1,4.78
M00014,MEM00094,1,4.45
M00014,MEM00094,1,4.69
M00014,MEM00094,1,5.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00501,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00015,MEM00479,1,0.0
M00016,MEM00474,1,4.05
M00016,MEM00474,1,3.75
M00016,MEM00474,1,3.67
M00016,MEM00474,1,3.71
M00016,MEM00474,1,4.15
M00016,MEM00474,1,4.4
M00016,MEM00474,1,4.37
M00016,MEM00305,1,4.7
M00016,MEM00305,1,4.21
M00016,MEM00305,1,5.0
M00016,MEM00305,1,4.04
M00016,MEM00305,1,5.0
M00016,MEM00305,1,4.58
M00016,MEM00305,1,3.69
M00016,MEM00204,1,3.56
M00016,MEM00204,1,4.49
M00016,MEM00204,1,4.07
M00016,MEM00204,1,4.63
M00016,MEM00204,1,4.48
M00016,MEM00204,1,4.16
M00016,MEM00204,1,3.69
M00016,MEM00425,1,3.29
M00016,MEM00425,1,3.93
M00016,MEM00425,1,4.71
M00016,MEM00425,1,4.33
M00016,MEM00425,1,3.45
M00016,MEM00425,1,4.3
M00016,MEM00425,1,4.43
M00017,MEM00787,1,3.67
M00017,MEM00787,1,4.29
M00017,MEM00787,1,4.23
M00017,MEM00787,1,3.51
M00017,MEM00787,1,4.41
M00017,MEM00787,1,4.54
M00017,MEM00787,1,4.85
M00017,MEM00391,1,4.83
M00017,MEM00391,1,3.37
M00017,MEM00391,1,3.64
M00017,MEM00391,1,4.51
M00017,MEM00391,1,4.51
M00017,MEM00391,1,4.51
M00017,MEM00391,1,5.0
M00017,EXT00284,0,4.54
M00017,EXT00284,0,4.88
M00017,EXT00284,0,4.77
M00017,EXT00284,0,4.59
M00017,EXT00284,0,4.01
M00017,EXT00284,0,4.66
M00017,EXT00284,0,3.74
M00017,EXT00056,0,4.06
M00017,EXT00056,0,3.91
M00017,EXT00056,0,4.25
M00017,EXT00056,0,5.0
M00017,EXT00056,0,3.08
M00017,EXT00056,0,4.61
M00017,EXT00056,0,3.23
M00018,MEM00315,1,3.92
